"Product Code","Product Name",Variant,Expected,Counted
4901133718724,"Ciao Churutto Red",,0.0000,
4901133718731,"Ciao Churutto Stick",,0.0000,
4901133718748,"Ciao Churutto Blue",,0.0000,
4901133815171,"Ciao Cup Jelly Blue",,0.0000,
4901133815188,"Ciao Cup Jelly Orange",,6.0000,
4901133815195,"Ciao Cup Jelly Blue",,5.0000,
4901133815201,"Ciao Cup Jelly Pink",,5.0000,
4901133821240,"Inaba Jelly Stick Orange",,2.0000,
4901133821257,"Inaba Jelly Stick Pink",,4.0000,
4901133821264,"Inaba Jelly Stick Green",,4.0000,
4901133821271,"Inaba Jelly Stick Blue",,1.0000,
4901133863103,"Ciao Cup Gravy Red",,5.0000,
4901133863110,"Ciao Cup Gravy Blue",,5.0000,
4901133863127,"Ciao Cup Gravy Green",,5.0000,
4901133863134,"Ciao Cup Gravy Yellow",,5.0000,
4902397811138,"Cesar សាច់កំប៉ុង កូនឆ្កែ Puppy",,0.0000,
5010394984577,"Pedigree Denta Stix S",,0.0000,
5010394984584,"Pedigree Denta Stix M",,0.0000,
5060568731001,"Reichold ស្ព្រៃកំចាត់ក្លិន និងមេរោគ Pet Deodorant",,0.0000,
5060568731292,"Reichold សាប៊ូកំចាត់បាក់តេរី  Antibacterial Soft Shampoo",,0.0000,
5060568731438,"Reichold សាប៊ូកំចាត់ផ្សិតលើស្បែក Antifungal Shampoo",,0.0000,
5060568731445,"Reichold ក្រណាត់សើម Wet Wipe",,0.0000,
55500050,ចំណីកាំប្រម៉ា,,10.0000,
55500051,"Pet Heng Hamster Fruit Food",,10.0000,
55500052,"Pet Heng Sugar Glider Food",,8.0000,
5998749109113,"Pedigree Denta Stix L",,13.0000,
60005,"ខ្សែមូល-ខ្សែបណ្តើរ Round Walking Rope",,3.0000,
60008,"យឺត-ខ្សែបណ្តើរ Elastic Walking Rope",,0.0000,
60010,"ច្រវ៉ាក់-ខ្សែបណ្តើរ Chain Walking Rope",,0.0000,
60013,"ប្រឡៅឆ្មារយប់ភ្លឺ Glow Cat Collar",,0.0000,
60014,"រូបបាតជើង-ប្រឡៅ​ Paw Print Collar",,0.0000,
60015,"បូរ-ប្រឡៅកឆ្មារ cat Collar-Bow",,0.0000,
60030,"មួក ត្រចៀកទន្សាយ Rabbit Ear Hat",,0.0000,
60037,"បាល់បន្លា រូបបាតជើង Foot Print Ball",,0.0000,
60038,"បាល់បន្លាថ្លាចេញភ្លើង GlowingTransparent Ball",,0.0000,
60039,"បាល់ខ្មៅចេញភ្លើង និងសំលេង Black Ball Grow and Sound",,22.0000,
60042,"បាល់បោះអូតូ Auto Bal Throw Toy",,0.0000,
60043,"កង់វិលដាក់ចំណី Roll Food Toy",,0.0000,
60044,ដងវិលទះបាល់និងរោមមាន់,,0.0000,
60045,"ដំបងយក្សសំអាតធ្មេញ Cactus Teeth Clean",,0.0000,
60046,ដងមានកណ្តុរ,,6.0000,
60047,"ឈុតបាល់3ប្រភេទ 3 Ball Set",,1.0000,
60049,"ដបទឹកដាក់តាមខ្លួន Water Bottle",,0.0000,
60050,"សួនវង្វេង-ចានចំណី Maze Food Dish",,0.0000,
60052,"2 IN 1 ចានបាយអូតូ AUTO BOWL",,0.0000,
60053,"ចានអូតូរូបត្រចៀកឆ្មារ Ear Shape Dish",,0.0000,
60054,"បេះដូង​ ចានបាយអូតូ Heart Bowl",,0.0000,
60056,"Free ចានបាយអូតូ Auto Bowl",,0.0000,
60057,"ក្រាស់សិតរុញសក់ជាប់ Hair Removal Brush",,19.0000,
60058,"ទ្រនាប់បង្គន់ បង្រៀនជុះ Teaching Toilet Sheet",,0.0000,
60061,"កន្សែងជូតឆាប់ស្ងួត Fast Dry Towel",,0.0000,
60062,"តូច ចានទឹកបត់បាន",,8.0000,
60063,"ដបដោះគោ Milk Bottle",,0.0000,
60064,"នំផាច់ Training Stick",,11.0000,
60065,"កំរាលឡានការពារប្រលាក់ Dirt Protection Car Sheet",,7.0000,
60066,"រឡូស្អិតរោម Hair Remover",,159.0000,
60078,"ឈុតកន្រ្តៃកាត់ក្រចក Nail Clipper",,0.0000,
60079,"ដបទឹកដាក់ទ្រុង Cage Water Bottle",,0.0000,
60081,"បាល់មានកណ្តុរ Ball with Mouse",,25.0000,
60082,"ធ្នើរឆ្មារឡើងលេង Cat Climb",,0.0000,
60083,"ឈុតថ្នាំដុសធ្មេញ Tooth Paste Set",,0.0000,
6181HT14,"អាវរូបទន្សាយលឿង-L Yellow Rabbit Shirt",,0.0000,
6920419302486,"Pet Care Paw",,0.0000,
6922192903553,"បបរគ្រីមរសជាតិបន្លែ ល្ហុង",,100.0000,
6922192903560,"បបរគ្រីមរសជាតិបន្លែ ការ៉ុត",,93.0000,
6922192903577,"បបរគ្រីមរសជាតិបន្លែ  ដំឡូង",,88.0000,
6922192903584,"បបរគ្រីមរសជាតិបន្លែ ល្ពៅ",,99.0000,
6922192914412,"នំគ្រាម Hamster Strawberry",,0.0000,
6922192920765,"វែកខ្សាច់ Hamster",,5.0000,
6922192932317,"នំគ្រាម Hamster ការ៉ុត",,0.0000,
6922192935622,"ពោត Hamster",,22.0000,
6922192935783,"Yee Hamster Bath Sand 1kg",,13.0000,
6922192935806,"Yee Hamster Bath Sand 1kg",,38.0000,
6922192944143,"ពោតគ្រាម Corn Hamster",,39.0000,
6922192949728,"Worm Hamster",,20.0000,
6922192968880,"Lollipops Hamster",,43.0000,
6922192973327,ចានងូតទឹក,,2.0000,
